tournament,team,player
2010,Australia,Mark Schwarzer
2010,Australia,Michael Beauchamp
2010,Australia,Mile Jedinak
2010,Australia,Nikita Rukavytsya
2010,Australia,Richard Garcia
2010,Australia,Scott Chipperfield
2010,Australia,Tim Cahill
2010,Australia,Vince Grella
2010,Brazil,Dani Alves
2010,Brazil,Doni
2010,Brazil,Elano
2010,Brazil,Felipe Melo
2010,Brazil,Gilberto
2010,Brazil,Gilberto Silva
2010,Brazil,Grafite
2010,Brazil,Heurelho Gomes
2010,Brazil,Josué
2010,Brazil,José Kléberson
2010,Brazil,Juan
2010,Brazil,Júlio Baptista
2010,Brazil,"Júlio César (football goalkeeper, born 1979)"
2010,Brazil,Kaká
2010,Brazil,Luisão
2010,Brazil,Luís Fabiano
2010,Brazil,Lúcio
2010,Brazil,Maicon
2010,Brazil,Michel Bastos
2010,Brazil,Nilmar
2010,Brazil,Ramires
2010,Brazil,Robinho
2010,Brazil,Thiago Silva
2010,Cameroon,Achille Emaná
2010,Cameroon,Alex Song
2010,Cameroon,Aurélien Chedjou
2010,Cameroon,Benoît Assou-Ekotto
2010,Cameroon,Carlos Kameni
2010,Cameroon,Eric Maxim Choupo-Moting
2010,Cameroon,Eyong Enoh
2010,Cameroon,Gaëtan Bong
2010,Cameroon,Georges Mandjeck
2010,Cameroon,Geremi
2010,Cameroon,Guy N'dy Assembé
2010,Cameroon,Jean Makoun
2010,Cameroon,Joël Matip
2010,Cameroon,Landry N'Guémo
2010,Cameroon,Mohammadou Idrissou
2010,Cameroon,Nicolas Nkoulou
2010,Cameroon,Pierre Webó
2010,Cameroon,Rigobert Song
2010,Cameroon,Samuel Eto'o
2010,Cameroon,Souleymanou Hamidou
2010,Cameroon,Stéphane Mbia
2010,Cameroon,Sébastien Bassong
2010,Cameroon,Vincent Aboubakar
2010,Chile,Alexis Sánchez
2010,Chile,Arturo Vidal
2010,Chile,Carlos Carmona
2010,Chile,Claudio Bravo
2010,Chile,Esteban Paredes
2010,Chile,Fabián Orellana
2010,Chile,Gary Medel
2010,Chile,Gonzalo Fierro
2010,Chile,Gonzalo Jara
2010,Chile,Humberto Suazo
2010,Chile,Ismael Fuentes
2010,Chile,Jean Beausejour
2010,Chile,Jorge Valdivia
2010,Chile,Luis Marín Barahona
2010,Chile,Marco Estrada
2010,Chile,Mark González
2010,Chile,Matías Fernández
2010,Chile,Mauricio Isla
2010,Chile,Miguel Pinto
2010,Chile,Pablo Contreras
2010,Chile,Rodrigo Millar
2010,Chile,Rodrigo Tello
2010,Chile,Waldo Ponce
2010,Denmark,Christian Eriksen
2010,Denmark,Christian Poulsen
2010,Denmark,Daniel Agger
2010,Denmark,Daniel Jensen
2010,Denmark,Dennis Rommedahl
2010,Denmark,Jakob Poulsen
2010,Denmark,Jesper Christiansen
2010,Denmark,Jesper Grønkjær
2010,Denmark,Jon Dahl Tomasson
2010,Denmark,Lars Jacobsen
2010,Denmark,Martin Jørgensen
2010,Denmark,Mikkel Beckmann
2010,Denmark,Nicklas Bendtner
2010,Denmark,Patrick Mtiliga
2010,Denmark,Per Krøldrup
2010,Denmark,Simon Kjær
2010,Denmark,Simon Poulsen
2010,Denmark,Stephan Andersen
2010,Denmark,Søren Larsen
2010,Denmark,Thomas Enevoldsen
2010,Denmark,Thomas Kahlenberg
2010,Denmark,Thomas Sørensen
2010,Denmark,William Kvist
2010,England,Aaron Lennon
2010,England,Ashley Cole
2010,England,David James
2010,England,Emile Heskey
2010,England,Frank Lampard
2010,England,Gareth Barry
2010,England,Glen Johnson
2010,England,James Milner
2010,England,Jamie Carragher
2010,England,Jermain Defoe
2010,England,Joe Cole
2010,England,Joe Hart
2010,England,John Terry
2010,England,Ledley King
2010,England,Matthew Upson
2010,England,Michael Carrick
2010,England,Michael Dawson
2010,England,Peter Crouch
2010,England,Robert Green
2010,England,Shaun Wright-Phillips
2010,England,Stephen Warnock
2010,England,Steven Gerrard
2010,England,Wayne Rooney
2010,France,Abou Diaby
2010,France,Alou Diarra
2010,France,André-Pierre Gignac
2010,France,Anthony Réveillère
2010,France,Bacary Sagna
2010,France,Cédric Carrasso
2010,France,Djibril Cissé
2010,France,Eric Abidal
2010,France,Florent Malouda
2010,France,Franck Ribéry
2010,France,Gaël Clichy
2010,France,Hugo Lloris
2010,France,Jérémy Toulalan
2010,France,Marc Planus
2010,France,Mathieu Valbuena
2010,France,Nicolas Anelka
2010,France,Patrice Evra
2010,France,Sidney Govou
2010,France,Steve Mandanda
2010,France,Sébastien Squillaci
2010,France,Thierry Henry
2010,France,William Gallas
2010,France,Yoann Gourcuff
2010,Germany,Arne Friedrich
2010,Germany,Bastian Schweinsteiger
2010,Germany,Cacau
2010,Germany,Dennis Aogo
2010,Germany,Hans-Jörg Butt
2010,Germany,Holger Badstuber
2010,Germany,Jérôme Boateng
2010,Germany,Lukas Podolski
2010,Germany,Manuel Neuer
2010,Germany,Marcell Jansen
2010,Germany,Mario Gómez
2010,Germany,Marko Marin
2010,Germany,Mesut Özil
2010,Germany,Miroslav Klose
2010,Germany,Per Mertesacker
2010,Germany,Philipp Lahm
2010,Germany,Piotr Trochowski
2010,Germany,Sami Khedira
2010,Germany,Serdar Tasci
2010,Germany,Stefan Kießling
2010,Germany,Thomas Müller
2010,Germany,Tim Wiese
2010,Germany,Toni Kroos
2010,Ghana,André Ayew
2010,Ghana,Anthony Annan
2010,Ghana,Asamoah Gyan
2010,Ghana,Daniel Agyei
2010,Ghana,Derek Boateng
2010,Ghana,Dominic Adiyiah
2010,Ghana,Hans Sarpei
2010,Ghana,Ibrahim Ayew
2010,Ghana,Isaac Vorsah
2010,Ghana,John Mensah
2010,Ghana,John Paintsil
2010,Ghana,Jonathan Mensah
2010,Ghana,Kevin-Prince Boateng
2010,Ghana,Kwadwo Asamoah
2010,Ghana,Lee Addy
2010,Ghana,Matthew Amoah
2010,Ghana,Prince Tagoe
2010,Ghana,Quincy Owusu-Abeyie
2010,Ghana,Richard Kingson
2010,Ghana,Samuel Inkoom
2010,Ghana,Stephen Ahorlu
2010,Ghana,Stephen Appiah
2010,Ghana,Sulley Muntari
2010,Greece,Alexandros Tziolis
2010,Greece,Alexandros Tzorvas
2010,Greece,Angelos Charisteas
2010,Greece,Athanassios Prittas
2010,Greece,Avraam Papadopoulos
2010,Greece,Christos Patsatzoglou
2010,Greece,Dimitris Salpingidis
2010,Greece,Georgios Samaras
2010,Greece,Giorgos Karagounis
2010,Greece,Giourkas Seitaridis
2010,Greece,Kostas Chalkias
2010,Greece,Kostas Katsouranis
2010,Greece,Loukas Vyntra
2010,Greece,Michalis Sifakis
2010,Greece,Nikos Spyropoulos
2010,Greece,Pantelis Kapetanos
2010,Greece,Sokratis Papastathopoulos
2010,Greece,Sotirios Kyrgiakos
2010,Greece,Sotiris Ninis
2010,Greece,Stelios Malezas
2010,Greece,Theofanis Gekas
2010,Greece,Vangelis Moras
2010,Greece,Vasilis Torosidis
2010,Honduras,Amado Guevara
2010,Honduras,Boniek García
2010,Honduras,Carlos Pavón
2010,Honduras,Danilo Turcios
2010,Honduras,David Suazo
2010,Honduras,Donis Escober
2010,Honduras,Emilio Izaguirre
2010,Honduras,Georgie Welcome
2010,Honduras,Hendry Thomas
2010,Honduras,Jerry Palacios
2010,Honduras,Johnny Palacios
2010,Honduras,Mauricio Sabillón
2010,Honduras,Maynor Figueroa
2010,Honduras,Noel Valladares
2010,Honduras,Osman Chávez
2010,Honduras,Ramón Núñez
2010,Honduras,Ricardo Canales
2010,Honduras,Roger Espinoza
2010,Honduras,Sergio Mendoza
2010,Honduras,Víctor Bernárdez
2010,Honduras,Walter Martínez
2010,Honduras,Wilson Palacios
2010,Honduras,Édgar Álvarez
2010,Italy,Alberto Gilardino
2010,Italy,Andrea Pirlo
2010,Italy,Angelo Palombo
2010,Italy,Antonio Di Natale
2010,Italy,Christian Maggio
2010,Italy,Claudio Marchisio
2010,Italy,Daniele De Rossi
2010,Italy,Domenico Criscito
2010,Italy,Fabio Cannavaro
2010,Italy,Fabio Quagliarella
2010,Italy,Federico Marchetti
2010,Italy,Gennaro Gattuso
2010,Italy,Giampaolo Pazzini
2010,Italy,Gianluca Zambrotta
2010,Italy,Gianluigi Buffon
2010,Italy,Giorgio Chiellini
2010,Italy,Leonardo Bonucci
2010,Italy,Mauro Camoranesi
2010,Italy,Morgan De Sanctis
2010,Italy,Riccardo Montolivo
2010,Italy,Salvatore Bocchetti
2010,Italy,Simone Pepe
2010,Italy,Vincenzo Iaquinta
2010,Ivory Coast,Abdul Kader Keïta
2010,Ivory Coast,Aristide Zogbo
2010,Ivory Coast,Arthur Boka
2010,Ivory Coast,Aruna Dindane
2010,Ivory Coast,Benjamin Angoua
2010,Ivory Coast,Boubacar Barry
2010,Ivory Coast,Cheick Tioté
2010,Ivory Coast,Daniel Yeboah
2010,Ivory Coast,Didier Drogba
2010,Ivory Coast,Didier Zokora
2010,Ivory Coast,Emmanuel Eboué
2010,Ivory Coast,Emmanuel Koné
2010,Ivory Coast,Gervinho
2010,Ivory Coast,Guy Demel
2010,Ivory Coast,Jean-Jacques Gosso
2010,Ivory Coast,Kolo Touré
2010,Ivory Coast,Romaric
2010,Ivory Coast,Salomon Kalou
2010,Ivory Coast,Seydou Doumbia
2010,Ivory Coast,Siaka Tiéné
2010,Ivory Coast,Sol Bamba
2010,Ivory Coast,Steve Gohouri
2010,Ivory Coast,Yaya Touré
2010,Japan,Atsuto Uchida
2010,Japan,Daiki Iwamasa
2010,Japan,Daisuke Matsui
2010,Japan,Eiji Kawashima
2010,Japan,Junichi Inamoto
2010,Japan,Keiji Tamada
2010,Japan,Keisuke Honda
2010,Japan,Kengo Nakamura
2010,Japan,Kisho Yano
2010,Japan,Makoto Hasebe
2010,Japan,Marcus Tulio Tanaka
2010,Japan,Seigo Narazaki
2010,Japan,Shinji Okazaki
2010,Japan,Shunsuke Nakamura
2010,Japan,Takayuki Morimoto
2010,Japan,Yasuhito Endō
2010,Japan,Yasuyuki Konno
2010,Japan,Yoshikatsu Kawaguchi
2010,Japan,Yoshito Ōkubo
2010,Japan,Yuji Nakazawa
2010,Japan,Yuki Abe
2010,Japan,Yuto Nagatomo
2010,Japan,Yūichi Komano
2010,Mexico,Adolfo Bautista
2010,Mexico,Alberto Medina
2010,Mexico,Andrés Guardado
2010,Mexico,Carlos Salcido
2010,Mexico,Carlos Vela
2010,Mexico,Cuauhtémoc Blanco
2010,Mexico,Efraín Juárez
2010,Mexico,Francisco Javier Rodríguez
2010,Mexico,Gerardo Torrado
2010,Mexico,Giovani dos Santos
2010,Mexico,Guillermo Franco
2010,Mexico,Guillermo Ochoa
2010,Mexico,Héctor Moreno
2010,Mexico,Israel Castro
2010,Mexico,Javier Hernández
2010,Mexico,Jonny Magallón
2010,Mexico,Jorge Torres Nilo
2010,Mexico,Luis Ernesto Michel
2010,Mexico,Pablo Barrera
2010,Mexico,Paul Aguilar
2010,Mexico,Rafael Márquez
2010,Mexico,Ricardo Osorio
2010,Mexico,Óscar Pérez Rojas
2010,Netherlands,André Ooijer
2010,Netherlands,Arjen Robben
2010,Netherlands,Demy de Zeeuw
2010,Netherlands,Dirk Kuyt
2010,Netherlands,Edson Braafheid
2010,Netherlands,Eljero Elia
2010,Netherlands,Giovanni van Bronckhorst
2010,Netherlands,Gregory van der Wiel
2010,Netherlands,Ibrahim Afellay
2010,Netherlands,John Heitinga
2010,Netherlands,Joris Mathijsen
2010,Netherlands,Khalid Boulahrouz
2010,Netherlands,Klaas-Jan Huntelaar
2010,Netherlands,Maarten Stekelenburg
2010,Netherlands,Mark van Bommel
2010,Netherlands,Michel Vorm
2010,Netherlands,Nigel de Jong
2010,Netherlands,Rafael van der Vaart
2010,Netherlands,Robin van Persie
2010,Netherlands,Ryan Babel
2010,Netherlands,Sander Boschker
2010,Netherlands,Stijn Schaars
2010,Netherlands,Wesley Sneijder
2010,New Zealand,Aaron Clapham
2010,New Zealand,Andrew Barron
2010,New Zealand,Andrew Boyens
2010,New Zealand,Ben Sigmund
2010,New Zealand,Chris Killen
2010,New Zealand,Chris Wood
2010,New Zealand,Dave Mulligan
2010,New Zealand,Glen Moss
2010,New Zealand,Ivan Vicelich
2010,New Zealand,James Bannatyne
2010,New Zealand,Jeremy Brockie
2010,New Zealand,Jeremy Christie
2010,New Zealand,Leo Bertos
2010,New Zealand,Mark Paston
2010,New Zealand,Michael McGlinchey
2010,New Zealand,Rory Fallon
2010,New Zealand,Ryan Nelsen
2010,New Zealand,Shane Smeltz
2010,New Zealand,Simon Elliott
2010,New Zealand,Tim Brown
2010,New Zealand,Tommy Smith
2010,New Zealand,Tony Lochhead
2010,New Zealand,Winston Reid
2010,Nigeria,Austin Ejide
2010,Nigeria,Ayila Yussuf
2010,Nigeria,Brown Ideye
2010,Nigeria,Chidi Odiah
2010,Nigeria,Chinedu Obasi
2010,Nigeria,Danny Shittu
2010,Nigeria,Dele Adeleye
2010,Nigeria,Dele Aiyenugba
2010,Nigeria,Dickson Etuhu
2010,Nigeria,Elderson Echiéjilé
2010,Nigeria,John Utaka
2010,Nigeria,Joseph Yobo
2010,Nigeria,Kalu Uche
2010,Nigeria,Lukman Haruna
2010,Nigeria,Nwankwo Kanu
2010,Nigeria,Obafemi Martins
2010,Nigeria,Peter Odemwingie
2010,Nigeria,Rabiu Afolabi
2010,Nigeria,Sani Kaita
2010,Nigeria,Taye Taiwo
2010,Nigeria,Victor Obinna
2010,Nigeria,Vincent Enyeama
2010,Nigeria,Yakubu
2010,North Korea,An Chol-hyok
2010,North Korea,An Yong-hak
2010,North Korea,Cha Jong-hyok
2010,North Korea,Choe Kum-chol
2010,North Korea,Hong Yong-jo
2010,North Korea,Ji Yun-nam
2010,North Korea,Jong Tae-se
2010,North Korea,Kim Kum-il
2010,North Korea,Kim Kyong-il
2010,North Korea,Kim Myong-gil
2010,North Korea,Kim Myong-won
2010,North Korea,Kim Yong-jun
2010,North Korea,Mun In-guk
2010,North Korea,Nam Song-chol
2010,North Korea,Pak Chol-jin
2010,North Korea,Pak Nam-chol
2010,North Korea,Pak Nam-chol
2010,North Korea,Pak Sung-hyok
2010,North Korea,Ri Chol-myong
2010,North Korea,Ri Jun-il
2010,North Korea,Ri Kwang-chon
2010,North Korea,Ri Kwang-hyok
2010,North Korea,Ri Myong-guk
2010,Paraguay,Aldo Bobadilla
2010,Paraguay,Antolín Alcaraz
2010,Paraguay,Aureliano Torres
2010,Paraguay,Carlos Bonet
2010,Paraguay,Claudio Morel
2010,Paraguay,Cristian Riveros
2010,Paraguay,Darío Verón
2010,Paraguay,Denis Caniza
2010,Paraguay,Diego Barreto
2010,Paraguay,Enrique Vera
2010,Paraguay,Jonathan Santana
2010,Paraguay,Julio César Cáceres
2010,Paraguay,Justo Villar
2010,Paraguay,Lucas Barrios
2010,Paraguay,Nelson Haedo Valdez
2010,Paraguay,Néstor Ortigoza
2010,Paraguay,Paulo da Silva
2010,Paraguay,Rodolfo Gamarra
2010,Paraguay,Roque Santa Cruz
2010,Paraguay,Víctor Cáceres
2010,Paraguay,Édgar Barreto
2010,Paraguay,Édgar Benítez
2010,Paraguay,Óscar Cardozo
2010,Portugal,Beto
2010,Portugal,Bruno Alves
2010,Portugal,Cristiano Ronaldo
2010,Portugal,Daniel Fernandes
2010,Portugal,Danny
2010,Portugal,Deco
2010,Portugal,Duda
2010,Portugal,Eduardo Carvalho
2010,Portugal,Fábio Coentrão
2010,Portugal,Hugo Almeida
2010,Portugal,Liédson
2010,Portugal,Miguel Monteiro
2010,Portugal,Miguel Veloso
2010,Portugal,Paulo Ferreira
2010,Portugal,Pedro Mendes
2010,Portugal,Pepe
2010,Portugal,Raul Meireles
2010,Portugal,Ricardo Carvalho
2010,Portugal,Ricardo Costa
2010,Portugal,Rolando
2010,Portugal,Ruben Amorim
2010,Portugal,Simão Sabrosa
2010,Portugal,Tiago Mendes
2010,Serbia,Aleksandar Kolarov
2010,Serbia,Aleksandar Luković
2010,Serbia,Antonio Rukavina
2010,Serbia,Anđelko Đuričić
2010,Serbia,Bojan Isailović
2010,Serbia,Branislav Ivanović
2010,Serbia,Danko Lazović
2010,Serbia,Dejan Stanković
2010,Serbia,Dragan Mrđa
2010,Serbia,Gojko Kačar
2010,Serbia,Ivan Obradović
2010,Serbia,Marko Pantelić
2010,Serbia,Milan Jovanović
2010,Serbia,Miloš Krasić
2010,Serbia,Miloš Ninković
2010,Serbia,Nemanja Vidić
2010,Serbia,Nenad Milijaš
2010,Serbia,Neven Subotić
2010,Serbia,Nikola Žigić
2010,Serbia,Radosav Petrović
2010,Serbia,Vladimir Stojković
2010,Serbia,Zdravko Kuzmanović
2010,Serbia,Zoran Tošić
2010,Slovakia,Dušan Kuciak
2010,Slovakia,Dušan Perniš
2010,Slovakia,Erik Jendrišek
2010,Slovakia,Filip Hološko
2010,Slovakia,Juraj Kucka
2010,Slovakia,Ján Kozák
2010,Slovakia,Ján Mucha
2010,Slovakia,Ján Ďurica
2010,Slovakia,Kamil Kopúnek
2010,Slovakia,Kornel Saláta
2010,Slovakia,Marek Hamšík
2010,Slovakia,Marek Sapara
2010,Slovakia,Marek Čech (Slovak footballer)
2010,Slovakia,Martin Jakubko
2010,Slovakia,Martin Petráš
2010,Slovakia,Martin Škrtel
2010,Slovakia,Miroslav Stoch
2010,Slovakia,Peter Pekarík
2010,Slovakia,Radoslav Zabavník
2010,Slovakia,Róbert Vittek
2010,Slovakia,Stanislav Šesták
2010,Slovakia,Vladimír Weiss
2010,Slovakia,Zdeno Štrba
2010,Slovenia,Aleksandar Radosavljević
2010,Slovenia,Aleksander Šeliga
2010,Slovenia,Andraž Kirm
2010,Slovenia,Andrej Komac
2010,Slovenia,Bojan Jokić
2010,Slovenia,Boštjan Cesar
2010,Slovenia,Branko Ilić
2010,Slovenia,Dalibor Stevanović
2010,Slovenia,Elvedin Džinić
2010,Slovenia,Jasmin Handanović
2010,Slovenia,Marko Šuler
2010,Slovenia,Matej Mavrič
2010,Slovenia,Milivoje Novaković
2010,Slovenia,Mišo Brečko
2010,Slovenia,Nejc Pečnik
2010,Slovenia,Rene Krhin
2010,Slovenia,Robert Koren
2010,Slovenia,Samir Handanović
2010,Slovenia,Suad Fileković
2010,Slovenia,Tim Matavž
2010,Slovenia,Valter Birsa
2010,Slovenia,Zlatan Ljubijankić
2010,Slovenia,Zlatko Dedić
2010,South Africa,Aaron Mokoena
2010,South Africa,Anele Ngcongca
2010,South Africa,Bernard Parker
2010,South Africa,Bongani Khumalo
2010,South Africa,Itumeleng Khune
2010,South Africa,Kagisho Dikgacoi
2010,South Africa,Katlego Mphela
2010,South Africa,Lance Davids
2010,South Africa,Lucas Thwala
2010,South Africa,MacBeth Sibaya
2010,South Africa,Matthew Booth (soccer)
2010,South Africa,Moeneeb Josephs
2010,South Africa,Reneilwe Letsholonyane
2010,South Africa,Shu-Aib Walters
2010,South Africa,Siboniso Gaxa
2010,South Africa,Siphiwe Tshabalala
2010,South Africa,Siyabonga Nomvethe
2010,South Africa,Siyabonga Sangweni
2010,South Africa,Steven Pienaar
2010,South Africa,Surprise Moriri
2010,South Africa,Teko Modise
2010,South Africa,Thanduyise Khuboni
2010,South Africa,Tsepo Masilela
2010,South Korea,Ahn Jung-hwan
2010,South Korea,Cha Du-ri
2010,South Korea,Cho Yong-hyung
2010,South Korea,Jung Sung-ryong
2010,South Korea,Kang Min-soo
2010,South Korea,Ki Sung-yueng
2010,South Korea,Kim Bo-kyung
2010,South Korea,Kim Dong-jin
2010,South Korea,Kim Hyung-il
2010,South Korea,Kim Jae-sung
2010,South Korea,Kim Jung-woo
2010,South Korea,Kim Nam-il
2010,South Korea,Kim Young-kwang
2010,South Korea,Lee Chung-yong
2010,South Korea,Lee Dong-gook
2010,South Korea,Lee Jung-soo
2010,South Korea,Lee Seung-yeoul
2010,South Korea,Lee Woon-jae
2010,South Korea,Lee Young-pyo
2010,South Korea,Oh Beom-seok
2010,South Korea,Park Chu-young
2010,South Korea,Park Ji-sung
2010,South Korea,Yeom Ki-hun
2010,Spain,Andrés Iniesta
2010,Spain,Carles Puyol
2010,Spain,Carlos Marchena
2010,Spain,Cesc Fàbregas
2010,Spain,David Silva
2010,Spain,David Villa
2010,Spain,Fernando Llorente
2010,Spain,Fernando Torres
2010,Spain,Gerard Piqué
2010,Spain,Iker Casillas
2010,Spain,Javi Martínez
2010,Spain,Jesús Navas
2010,Spain,Joan Capdevila
2010,Spain,Juan Mata
2010,Spain,Pedro
2010,Spain,Pepe Reina
2010,Spain,Raúl Albiol
2010,Spain,Sergio Busquets
2010,Spain,Sergio Ramos
2010,Spain,Víctor Valdés
2010,Spain,Xabi Alonso
2010,Spain,Xavi
2010,Spain,Álvaro Arbeloa
2010,Switzerland,Albert Bunjaku
2010,Switzerland,Alexander Frei
2010,Switzerland,Benjamin Huggel
2010,Switzerland,Blaise Nkufo
2010,Switzerland,Diego Benaglio
2010,Switzerland,Eren Derdiyok
2010,Switzerland,Gélson Fernandes
2010,Switzerland,Gökhan Inler
2010,Switzerland,Hakan Yakin
2010,Switzerland,Johnny Leoni
2010,Switzerland,Ludovic Magnin
2010,Switzerland,Marco Padalino
2010,Switzerland,Marco Wölfli
2010,Switzerland,Mario Eggimann
2010,Switzerland,Philippe Senderos
2010,Switzerland,Pirmin Schwegler
2010,Switzerland,Reto Ziegler
2010,Switzerland,Stephan Lichtsteiner
2010,Switzerland,Steve von Bergen
2010,Switzerland,Stéphane Grichting
2010,Switzerland,Tranquillo Barnetta
2010,Switzerland,Valon Behrami
2010,Switzerland,Xherdan Shaqiri
2010,United States,Benny Feilhaber
2010,United States,Brad Guzan
2010,United States,Carlos Bocanegra
2010,United States,Clarence Goodson
2010,United States,Clint Dempsey
2010,United States,DaMarcus Beasley
2010,United States,Edson Buddle
2010,United States,Herculez Gomez
2010,United States,Jay DeMerit
2010,United States,Jonathan Bornstein
2010,United States,Jonathan Spector
2010,United States,José Francisco Torres
2010,United States,Jozy Altidore
2010,United States,Landon Donovan
2010,United States,Marcus Hahnemann
2010,United States,Maurice Edu
2010,United States,Michael Bradley (soccer)
2010,United States,Oguchi Onyewu
2010,United States,Ricardo Clark
2010,United States,Robbie Findley
2010,United States,Steve Cherundolo
2010,United States,Stuart Holden
2010,United States,Tim Howard
2010,Uruguay,Andrés Scotti
2010,Uruguay,Diego Forlán
2010,Uruguay,Diego Godín
2010,Uruguay,Diego Lugano
2010,Uruguay,Diego Pérez
2010,Uruguay,Edinson Cavani
2010,Uruguay,Egidio Arévalo Ríos
2010,Uruguay,Fernando Muslera
2010,Uruguay,Ignacio María González
2010,Uruguay,Jorge Fucile
2010,Uruguay,Juan Guillermo Castillo
2010,Uruguay,Luis Suárez
2010,Uruguay,Martín Cáceres
2010,Uruguay,Martín Silva
2010,Uruguay,Mauricio Victorino
2010,Uruguay,Maxi Pereira
2010,Uruguay,Nicolás Lodeiro
2010,Uruguay,Sebastián Abreu
2010,Uruguay,Sebastián Eguren
2010,Uruguay,Sebastián Fernández
2010,Uruguay,Walter Gargano
2010,Uruguay,Álvaro Fernández (Uruguayan footballer)
2010,Uruguay,Álvaro Pereira
2014,Algeria,Abdelmoumene Djabou
2014,Algeria,Aïssa Mandi
2014,Algeria,Carl Medjani
2014,Algeria,Cédric Si Mohamed
2014,Algeria,Djamel Mesbah
2014,Algeria,Essaïd Belkalem
2014,Algeria,Faouzi Ghoulam
2014,Algeria,Hassan Yebda
2014,Algeria,Hillal Soudani
2014,Algeria,Islam Slimani
2014,Algeria,Liassine Cadamuro
2014,Algeria,Madjid Bougherra
2014,Algeria,Mehdi Lacen
2014,Algeria,Mehdi Mostefa
2014,Algeria,Mohamed Lamine Zemmamouche
2014,Algeria,Nabil Bentaleb
2014,Algeria,Nabil Ghilas
2014,Algeria,Rafik Halliche
2014,Algeria,Raïs M'Bolhi
2014,Algeria,Riyad Mahrez
2014,Algeria,Saphir Taïder
2014,Algeria,Sofiane Feghouli
2014,Algeria,Yacine Brahimi
2014,Argentina,Agustín Orión
2014,Argentina,Augusto Fernández
2014,Argentina,Enzo Pérez
2014,Argentina,Ezequiel Garay
2014,Argentina,Ezequiel Lavezzi
2014,Argentina,Federico Fernández
2014,Argentina,Fernando Gago
2014,Argentina,Gonzalo Higuaín
2014,Argentina,Hugo Campagnaro
2014,Argentina,Javier Mascherano
2014,Argentina,José María Basanta
2014,Argentina,Lionel Messi
2014,Argentina,Lucas Biglia
2014,Argentina,Marcos Rojo
2014,Argentina,Mariano Andújar
2014,Argentina,Martín Demichelis
2014,Argentina,Maxi Rodríguez
2014,Argentina,Pablo Zabaleta
2014,Argentina,Ricky Álvarez
2014,Argentina,Rodrigo Palacio
2014,Argentina,Sergio Agüero
2014,Argentina,Sergio Romero
2014,Argentina,Ángel Di María
2014,Australia,Adam Taggart
2014,Australia,Alex Wilkinson
2014,Australia,Bailey Wright
2014,Australia,Ben Halloran
2014,Australia,Dario Vidošić
2014,Australia,Eugene Galekovic
2014,Australia,Ivan Franjic
2014,Australia,James Holland (soccer)
2014,Australia,James Troisi
2014,Australia,Jason Davidson
2014,Australia,Mark Bresciano
2014,Australia,Mark Milligan
2014,Australia,Massimo Luongo
2014,Australia,Mathew Leckie
2014,Australia,Mathew Ryan
2014,Australia,Matt McKay
2014,Australia,Matthew Spiranovic
2014,Australia,Mile Jedinak
2014,Australia,Mitchell Langerak
2014,Australia,Oliver Bozanic
2014,Australia,Ryan McGowan
2014,Australia,Tim Cahill
2014,Australia,Tommy Oar
2014,Belgium,Adnan Januzaj
2014,Belgium,Anthony Vanden Borre
2014,Belgium,Axel Witsel
2014,Belgium,Daniel Van Buyten
2014,Belgium,Divock Origi
2014,Belgium,Dries Mertens
2014,Belgium,Eden Hazard
2014,Belgium,Jan Vertonghen
2014,Belgium,Kevin De Bruyne
2014,Belgium,Kevin Mirallas
2014,Belgium,Laurent Ciman
2014,Belgium,Marouane Fellaini
2014,Belgium,Mousa Dembélé (Belgian footballer)
2014,Belgium,Nacer Chadli
2014,Belgium,Nicolas Lombaerts
2014,Belgium,Romelu Lukaku
2014,Belgium,Sammy Bossut
2014,Belgium,Simon Mignolet
2014,Belgium,Steven Defour
2014,Belgium,Thibaut Courtois
2014,Belgium,Thomas Vermaelen
2014,Belgium,Toby Alderweireld
2014,Belgium,Vincent Kompany
2014,Bosnia and Herzegovina,Anel Hadžić
2014,Bosnia and Herzegovina,Asmir Avdukić
2014,Bosnia and Herzegovina,Asmir Begović
2014,Bosnia and Herzegovina,Avdija Vršajević
2014,Bosnia and Herzegovina,Edin Džeko
2014,Bosnia and Herzegovina,Edin Višća
2014,Bosnia and Herzegovina,Emir Spahić
2014,Bosnia and Herzegovina,Ermin Bičakčić
2014,Bosnia and Herzegovina,Haris Medunjanin
2014,Bosnia and Herzegovina,Izet Hajrović
2014,Bosnia and Herzegovina,Jasmin Fejzić
2014,Bosnia and Herzegovina,Mensur Mujdža
2014,Bosnia and Herzegovina,Miralem Pjanić
2014,Bosnia and Herzegovina,Muhamed Bešić
2014,Bosnia and Herzegovina,Ognjen Vranješ
2014,Bosnia and Herzegovina,Sead Kolašinac
2014,Bosnia and Herzegovina,Sejad Salihović
2014,Bosnia and Herzegovina,Senad Lulić
2014,Bosnia and Herzegovina,Senijad Ibričić
2014,Bosnia and Herzegovina,Tino-Sven Sušić
2014,Bosnia and Herzegovina,Toni Šunjić
2014,Bosnia and Herzegovina,Vedad Ibišević
2014,Bosnia and Herzegovina,Zvjezdan Misimović
2014,Brazil,Bernard
2014,Brazil,Dani Alves
2014,Brazil,Dante
2014,Brazil,David Luiz
2014,Brazil,Fernandinho
2014,Brazil,Fred
2014,Brazil,Henrique
2014,Brazil,Hernanes
2014,Brazil,Hulk
2014,Brazil,Jefferson
